epoch,training_combined_loss,training_colorization_loss,training_style_loss,validation_combined_loss,validation_colorization_loss,validation_style_loss
0,0.4027288446968779,0.4027288446968779,0.0006849357989794112,0.271591285154933,0.271591285154933,0.0009684447064674238
1,0.23185496079370632,0.23185496079370632,0.0057407580345453825,,,
2,0.16851175454991288,0.16851175454991288,0.013601158482306966,,,
3,0.14104187985261282,0.14104187985261282,0.008325002613078595,,,
4,0.13021362877457682,0.13021362877457682,0.007800392765742149,,,
5,0.12424983473952379,0.12424983473952379,0.008893899964010049,0.12147698249845278,0.12147698249845278,0.011065830947786924
6,0.12126552453151294,0.12126552453151294,0.011231067413668128,,,
7,0.11875901637721235,0.11875901637721235,0.014109910064129897,,,
8,0.1168838721085929,0.1168838721085929,0.016984524687983258,,,
9,0.11267763387112723,0.11267763387112723,0.018915301740595532,,,
10,0.11035553369571403,0.11035553369571403,0.019510088608557144,0.10746582668452036,0.10746582668452036,0.019043241538816973
11,0.10820296961460671,0.10820296961460671,0.021128486120198693,,,
12,0.10525163680024971,0.10525163680024971,0.020805064854472696,,,
13,0.10390950721255764,0.10390950721255764,0.02021392980826126,,,
14,0.10228623108997252,0.10228623108997252,0.018681383833352595,,,
15,0.0993000056929977,0.0993000056929977,0.017931817711269768,0.10168657043860072,0.10168657043860072,0.017101068581853594
16,0.09840314224398629,0.09840314224398629,0.017520027432291613,,,
17,0.09648588530882432,0.09648588530882432,0.0162355957990127,,,
18,0.09475066231840139,0.09475066231840139,0.016109484042791045,,,
19,0.09217639000057594,0.09217639000057594,0.014827717827528787,,,
20,0.0906382352295003,0.0906382352295003,0.014293005960198106,0.09893744412277426,0.09893744412277426,0.013596880050109965
21,0.08884704797336075,0.08884704797336075,0.014479569719148088,,,
22,0.08716721781087618,0.08716721781087618,0.01418941040860983,,,
23,0.0847067047554066,0.0847067047554066,0.014219890908313203,,,
24,0.0829283812076506,0.0829283812076506,0.012947980684982817,,,
25,0.08121678040084178,0.08121678040084178,0.013131326259342713,0.09514998156754743,0.09514998156754743,0.01302080926307965
26,0.07880075710061983,0.07880075710061983,0.013192315266972947,,,
27,0.0771197079433867,0.0771197079433867,0.013884049017716497,,,
28,0.07433129359408307,0.07433129359408307,0.012539292497610233,,,
29,0.07225854584262899,0.07225854584262899,0.012880110592012568,,,
30,0.07004925179909326,0.07004925179909326,0.01253268505399027,0.09448071232154256,0.09448071232154256,0.014406503022958836
31,0.06784488363168825,0.06784488363168825,0.011832253499310056,,,
32,0.06595252176923473,0.06595252176923473,0.011843124177383934,,,
33,0.06468729927700802,0.06468729927700802,0.01208913565722097,,,
34,0.06228561093011042,0.06228561093011042,0.011975693303430023,,,
35,0.06010714302931679,0.06010714302931679,0.011375029654063085,0.09451745317450591,0.09451745317450591,0.013212687967877303
