epoch,training_loss,val_loss
0,0.4210618393761771,0.34509728636060444
1,0.3182413067136492,
2,0.2804438897541591,
3,0.260394675391061,
4,0.2497437447309494,
5,0.2451114399092538,0.2418622225522995
6,0.23953971053872788,
7,0.23354134389332362,
8,0.23147036560944148,
9,0.2265183457306453,
10,0.22370004866804397,0.22344596896852767
11,0.22049170093876974,
12,0.21842393704823085,
13,0.21608583629131317,
14,0.21094700268336705,
15,0.20923016965389252,0.20920030772686005
16,0.2085599367107664,
17,0.20447432781968797,
18,0.2012045191867011,
19,0.19777559808322362,
20,0.1968951459441866,0.19547566132886068
21,0.1904317374740328,
22,0.19132496842316218,
23,0.1884957935128893,
24,0.1832986559186663,
25,0.18215108982154302,0.18194255658558436
26,0.17884243811879838,
27,0.1765849824462618,
28,0.17575703774179732,
29,0.16971070212977274,
30,0.16996252962521144,0.16814771081720079
31,0.16708207981927053,
32,0.16304517218044826,
33,0.15933191563401902,
34,0.15834069890635355,
35,0.15546163065092905,0.153694463627679
36,0.14967907326562063,
37,0.1489042959042958,
38,0.14463503233024053,
39,0.14143100806644984,
40,0.13810650152819498,0.1389293372631073
41,0.13543680948870523,
42,0.13542571450982774,
43,0.13194466914449418,
44,0.12725935237748282,
45,0.12343811563083104,0.12402786953108651
46,0.12020791215556008,
47,0.11821440713746208,
48,0.11414464988878795,
49,0.1123046555689403,
50,0.10761419577257973,0.10889227156128202
51,0.10572854961667742,
52,0.10318030736276082,
53,0.10061855827059064,
54,0.09802288242748805,
55,0.09343144191162926,0.09409507364034653
56,0.08992847268070493,
57,0.08759189077786037,
58,0.08577129989862442,
59,0.08297941620860781,
60,0.07866828995091575,0.07992437056132726
61,0.07579743010657174,
62,0.07334591661180768,
63,0.07168723962136678,
64,0.06777160135763032,
65,0.06808132412178176,0.06665683537721634
66,0.0644456712262971,
67,0.0595965710069452,
68,0.0589655584522656,
69,0.0542844512632915,
70,0.05283453155841146,0.054444994777441025
71,0.051733595452138355,
72,0.0500050958778177,
73,0.04644943454435894,
74,0.04415783818278994,
75,0.04142898480807032,0.04384538744177137
76,0.040330413196768077,
77,0.038604347833565304,
78,0.03646521642804146,
79,0.035693390028817315,
80,0.033500674845916886,0.03479699684040887
81,0.030966074338981082,
82,0.029865211408053125,
83,0.02828140290720122,
84,0.027949798852205276,
85,0.025536942162684033,0.027428477736456052
86,0.023778074820126806,
87,0.02219594642519951,
88,0.02256248625261443,
89,0.02038105098264558,
90,0.019204056954809597,0.020972653159073422
91,0.01724498612540109,
92,0.016362767400486127,
93,0.015330228422369276,
94,0.014124154645417417,
95,0.014046863253627504,0.01623877656779119
96,0.012823306556258882,
97,0.012628399633935519,
98,0.01187894493341446,
99,0.011227564620120185,
100,0.009939440792160375,0.012507146357425622
101,0.008992926749799932,
102,0.009285632254821914,
103,0.008224411401897669,
104,0.008120001227195774,
105,0.006890267599374056,0.009682977705129556
106,0.00678524241915771,
107,0.006321109631764037,
108,0.005870137762810502,
109,0.005452246937368598,
110,0.005099118088505098,0.007940581933196102
111,0.004678486613556743,
112,0.004800223313005907,
113,0.0044644248804875785,
114,0.0038193560404969113,
115,0.003826055210083723,0.006646151055714914
116,0.00356321781873703,
117,0.0032239664745117936,
118,0.0035785262672496693,
119,0.003149359187643443,
120,0.0032081514530416045,0.0056537071775112835
121,0.00297643117872732,
122,0.003067069753472294,
123,0.002793594529586179,
124,0.002831934917984264,
125,0.0026253169469003168,0.0052830844984522885
126,0.0028575500307072487,
127,0.002689646407296615,
128,0.0020667746430262923,
129,0.0024589652395141976,
130,0.00207425033607121,0.004988292963909251
131,0.0019564143481797408,
132,0.0019407986796328,
133,0.0020576035603880882,
134,0.0018559236112715943,
135,0.0017098330925883992,0.004866308665701321
136,0.0016995087831414171,
137,0.001481941302439996,
138,0.0013999738896797811,
139,0.001474462150196944,
140,0.0013681126625410148,0.004134527607155698
141,0.001348446056778942,
142,0.0013415821927732655,
143,0.001218390867247113,
144,0.001354264677502215,
145,0.0011990785133093596,0.004354835587686726
146,0.0015085018073607767,
147,0.0011316760958704566,
148,0.001103763169209872,
149,0.0010745686179559147,0.004216252094400781
